,Country of Origin,Total Ciudad de Madrid,Centro,Arganzuela,Retiro,Salamanca,Chamartin,Tetuán,Chamberí,Fuencarral-El Pardo,Moncloa-Aravaca,Latina,Carabanchel,Usera,Puente de Vallecas,Moratalaz,Ciudad Lineal,Hortaleza,Villaverde,Villa de Vallecas,Vicálvaro,San Blas-Canillejas,Barajas
0,Rumanía,45036.0,815.0,754.0,480.0,753.0,680.0,1468.0,597.0,1830.0,991.0,4904.0,5873.0,2241.0,4784.0,1286.0,2888.0,1466.0,3646.0,3384.0,2606.0,2929.0,661.0
1,China                     ,37276.0,1508.0,1356.0,564.0,755.0,652.0,1988.0,816.0,1733.0,960.0,2554.0,4398.0,9207.0,3602.0,564.0,1960.0,1104.0,1236.0,685.0,472.0,972.0,190.0
2,Ecuador                   ,23953.0,647.0,741.0,265.0,619.0,380.0,1395.0,453.0,632.0,387.0,2194.0,3674.0,1806.0,3290.0,491.0,2471.0,401.0,2017.0,498.0,439.0,1015.0,138.0
3,Venezuela                 ,23359.0,1563.0,913.0,638.0,1564.0,933.0,1310.0,794.0,1428.0,630.0,1448.0,1870.0,875.0,1829.0,480.0,1858.0,1434.0,909.0,762.0,321.0,1486.0,314.0
4,Colombia                  ,22618.0,998.0,717.0,483.0,803.0,551.0,822.0,659.0,999.0,454.0,1786.0,3395.0,1752.0,1733.0,482.0,1792.0,910.0,1618.0,740.0,384.0,1282.0,258.0
5,Marruecos                 ,21909.0,1101.0,390.0,184.0,322.0,280.0,1393.0,320.0,930.0,342.0,1539.0,2223.0,942.0,3437.0,258.0,1011.0,426.0,3372.0,1655.0,802.0,649.0,333.0
6,Italia                    ,20308.0,3030.0,1219.0,840.0,1817.0,1060.0,1194.0,1640.0,1195.0,710.0,826.0,915.0,412.0,704.0,310.0,1258.0,1109.0,330.0,427.0,189.0,786.0,337.0
7,Perú,18829.0,563.0,521.0,253.0,612.0,419.0,965.0,567.0,805.0,368.0,2026.0,2425.0,1131.0,2079.0,668.0,1726.0,603.0,1280.0,564.0,338.0,810.0,106.0
8,Paraguay                  ,18682.0,364.0,474.0,237.0,521.0,657.0,3311.0,584.0,1024.0,636.0,2061.0,2152.0,727.0,1354.0,360.0,1619.0,583.0,870.0,217.0,199.0,581.0,151.0
9,República Dominicana      ,17511.0,365.0,654.0,204.0,344.0,322.0,2272.0,443.0,589.0,536.0,1501.0,1607.0,1202.0,1989.0,223.0,1581.0,359.0,1881.0,296.0,151.0,889.0,103.0
10,Honduras                  ,15981.0,149.0,228.0,232.0,332.0,337.0,755.0,317.0,863.0,335.0,2021.0,2870.0,1115.0,2483.0,281.0,1062.0,349.0,1040.0,387.0,165.0,598.0,62.0
11,Bolivia                   ,14930.0,284.0,407.0,182.0,342.0,315.0,576.0,280.0,401.0,225.0,1458.0,2625.0,2827.0,1573.0,227.0,1086.0,479.0,737.0,222.0,159.0,454.0,71.0
12,Filipinas                 ,12628.0,1344.0,640.0,142.0,578.0,661.0,4473.0,771.0,442.0,568.0,629.0,400.0,225.0,418.0,76.0,590.0,300.0,140.0,25.0,24.0,152.0,30.0
13,Portugal                  ,9860.0,769.0,372.0,262.0,695.0,534.0,590.0,509.0,693.0,365.0,533.0,658.0,283.0,597.0,173.0,612.0,727.0,302.0,262.0,168.0,565.0,191.0
14,Francia                   ,9561.0,1608.0,455.0,370.0,968.0,554.0,387.0,699.0,366.0,347.0,196.0,188.0,66.0,138.0,85.0,599.0,1802.0,68.0,59.0,52.0,357.0,197.0
15,Ucrania                   ,9453.0,152.0,214.0,133.0,220.0,176.0,221.0,149.0,312.0,168.0,1745.0,1251.0,428.0,912.0,239.0,348.0,282.0,1649.0,256.0,152.0,390.0,56.0
16,Brasil                    ,9324.0,677.0,309.0,244.0,431.0,280.0,567.0,322.0,361.0,234.0,1159.0,1596.0,410.0,604.0,201.0,421.0,388.0,417.0,223.0,81.0,308.0,91.0
17,Bulgaria                  ,7842.0,262.0,137.0,115.0,113.0,123.0,245.0,74.0,316.0,170.0,996.0,988.0,395.0,760.0,285.0,780.0,283.0,516.0,261.0,269.0,662.0,92.0
18,Estados Unidos de América,6791.0,1637.0,406.0,385.0,749.0,389.0,300.0,657.0,297.0,428.0,207.0,125.0,86.0,139.0,232.0,252.0,206.0,54.0,51.0,33.0,101.0,57.0
19,Reino Unido               ,5915.0,1274.0,324.0,256.0,550.0,466.0,329.0,501.0,313.0,304.0,211.0,170.0,81.0,142.0,59.0,285.0,319.0,61.0,49.0,27.0,120.0,74.0
20,Bangladesh                ,5886.0,2742.0,381.0,33.0,32.0,21.0,210.0,48.0,27.0,14.0,257.0,410.0,175.0,649.0,23.0,179.0,27.0,489.0,57.0,32.0,78.0,2.0
21,Cuba                      ,5725.0,435.0,243.0,111.0,169.0,161.0,257.0,175.0,305.0,133.0,395.0,650.0,301.0,513.0,118.0,483.0,248.0,362.0,175.0,88.0,325.0,78.0
22,Polonia                   ,5487.0,246.0,173.0,117.0,138.0,130.0,220.0,151.0,184.0,133.0,801.0,706.0,298.0,424.0,88.0,266.0,194.0,506.0,164.0,273.0,213.0,62.0
23,Argentina                 ,5061.0,588.0,262.0,186.0,323.0,208.0,271.0,291.0,261.0,188.0,284.0,426.0,230.0,319.0,74.0,317.0,270.0,162.0,119.0,50.0,157.0,75.0
24,Alemania                  ,4707.0,592.0,199.0,175.0,494.0,442.0,245.0,367.0,607.0,247.0,140.0,111.0,60.0,93.0,39.0,240.0,327.0,39.0,46.0,25.0,130.0,89.0
25,Nicaragua                 ,4697.0,82.0,107.0,101.0,174.0,217.0,248.0,111.0,215.0,137.0,430.0,556.0,291.0,601.0,212.0,523.0,186.0,203.0,69.0,58.0,147.0,29.0
26,México,4503.0,644.0,213.0,173.0,656.0,263.0,266.0,359.0,263.0,184.0,205.0,199.0,89.0,133.0,38.0,217.0,244.0,60.0,77.0,19.0,158.0,43.0
27,El Salvador               ,3228.0,71.0,58.0,82.0,82.0,91.0,135.0,81.0,115.0,72.0,226.0,413.0,205.0,575.0,102.0,264.0,113.0,244.0,39.0,43.0,189.0,28.0
28,Rusia                     ,2522.0,178.0,117.0,89.0,215.0,138.0,132.0,113.0,127.0,102.0,186.0,131.0,92.0,166.0,50.0,141.0,195.0,120.0,67.0,33.0,93.0,37.0
29,Chile                     ,2520.0,285.0,124.0,84.0,212.0,76.0,122.0,161.0,161.0,85.0,146.0,164.0,69.0,172.0,80.0,187.0,112.0,90.0,46.0,25.0,105.0,14.0
30,Senegal                   ,2106.0,507.0,235.0,24.0,31.0,18.0,63.0,18.0,37.0,14.0,40.0,239.0,62.0,270.0,11.0,52.0,38.0,248.0,86.0,31.0,69.0,13.0
31,India                     ,1704.0,138.0,67.0,40.0,126.0,142.0,136.0,72.0,71.0,31.0,102.0,74.0,74.0,93.0,14.0,142.0,97.0,99.0,19.0,6.0,146.0,15.0
32,Países Bajos,1615.0,218.0,77.0,90.0,134.0,103.0,78.0,127.0,68.0,61.0,47.0,89.0,48.0,74.0,21.0,99.0,117.0,41.0,22.0,11.0,55.0,35.0
33,,,,,,,,,,,,,,,,,,,,,,,
34,Resto de países (1),35113.0,3278.0,1287.0,882.0,2203.0,1497.0,1781.0,1606.0,1991.0,1270.0,2158.0,2736.0,1285.0,2813.0,500.0,2009.0,2049.0,2735.0,756.0,573.0,1315.0,389.0
35,,,,,,,,,,,,,,,,,,,,,,,
36,(1) Países con menos de 1.500 residentes en la Ciudad de Madrid a 1 de julio de 2018,,,,,,,,,,,,,,,,,,,,,,
37,(*) El Total de la población de la Ciudad de Madrid incluye 'Apátridas' y 'No consta',,,,,,,,,,,,,,,,,,,,,,
38,FUENTE: Elaboración propia a partir del Padrón Municipal de Habitantes. Subdirección General de Estadística,,,,,,,,,,,,,,,,,,,,,,
